method,group_type,group,n,positive_rate,accuracy,precision,recall,f1,pr_auc,roc_auc
catboost_popularity,item_count_bucket,cold_0,1706,0.42262602579132474,0.6148886283704572,0.5296846011131725,0.7919556171983356,0.6347971095052807,0.6088180194775867,0.700697705527433
catboost_popularity,item_count_bucket,head_100_plus,3342,0.4539198084979054,0.7378815080789947,0.670026525198939,0.8325642715886619,0.7425044091710759,0.8142783000988765,0.8402961865975564
catboost_popularity,item_count_bucket,mid_21_100,2566,0.5713172252533125,0.7174590802805924,0.6946925906463479,0.9017735334242838,0.7848026120510537,0.8151937601297028,0.7964740171152178
catboost_popularity,item_count_bucket,rare_3_5,475,0.5578947368421052,0.6757894736842105,0.6627565982404692,0.8528301886792453,0.7458745874587459,0.7622587805068133,0.7259838274932614
catboost_popularity,item_count_bucket,tail_6_20,1375,0.5534545454545454,0.68,0.6632756866734486,0.8567674113009198,0.7477064220183486,0.8014689459921638,0.7651983717635376
catboost_popularity,item_count_bucket,very_rare_1_2,536,0.503731343283582,0.6511194029850746,0.6143250688705234,0.825925925925926,0.7045813586097947,0.7158948724544452,0.7247145641882483
catboost_popularity_semantic,item_count_bucket,cold_0,1706,0.42262602579132474,0.6289566236811255,0.5419847328244275,0.7877947295423023,0.6421707179197287,0.6122611397065165,0.7036631300294994
catboost_popularity_semantic,item_count_bucket,head_100_plus,3342,0.4539198084979054,0.7492519449431478,0.6872586872586872,0.8213579433091628,0.7483483483483484,0.8123446122756295,0.8395076800823542
catboost_popularity_semantic,item_count_bucket,mid_21_100,2566,0.5713172252533125,0.7166796570537802,0.6964380648591175,0.8935879945429741,0.7827905587092919,0.8114620564502579,0.7950266650130224
catboost_popularity_semantic,item_count_bucket,rare_3_5,475,0.5578947368421052,0.6694736842105263,0.6636363636363637,0.8264150943396227,0.7361344537815127,0.7595544434511086,0.7215992812219227
catboost_popularity_semantic,item_count_bucket,tail_6_20,1375,0.5534545454545454,0.6829090909090909,0.6698014629049112,0.8423127463863338,0.7462165308498254,0.8022129307479604,0.7662748740513725
catboost_popularity_semantic,item_count_bucket,very_rare_1_2,536,0.503731343283582,0.6548507462686567,0.6183844011142061,0.8222222222222222,0.7058823529411765,0.7133311014662262,0.7220412141464773
catboost_popularity,item_popularity_quantile,Q1_tail,2500,0.44,0.6236,0.549165120593692,0.8072727272727273,0.6536621273463379,0.6437951551689672,0.7120214285714286
catboost_popularity,item_popularity_quantile,Q2_low_mid,2500,0.5692,0.6884,0.6761487964989059,0.8685874912157414,0.7603814211011997,0.7922609698725622,0.7595745971964757
catboost_popularity,item_popularity_quantile,Q3_high_mid,2500,0.5812,0.736,0.7151383613673359,0.9070887818306951,0.7997572815533981,0.841900834118991,0.8169903062596178
catboost_popularity,item_popularity_quantile,Q4_head,2500,0.4096,0.7364,0.6442687747035574,0.7958984375,0.7121013543031892,0.7898432061870939,0.8346367399220868
catboost_popularity_semantic,item_popularity_quantile,Q1_tail,2500,0.44,0.6348,0.5592146928435718,0.8027272727272727,0.6592011944755506,0.6452792384930586,0.7127077922077922
catboost_popularity_semantic,item_popularity_quantile,Q2_low_mid,2500,0.5692,0.6912,0.6823529411764706,0.8559381588193956,0.7593516209476309,0.7916878696983556,0.759100883417473
catboost_popularity_semantic,item_popularity_quantile,Q3_high_mid,2500,0.5812,0.7368,0.7192498621070049,0.8974535443909153,0.7985303123086344,0.8360812559263263,0.8154514816691875
catboost_popularity_semantic,item_popularity_quantile,Q4_head,2500,0.4096,0.7468,0.6614368290668868,0.7822265625,0.7167785234899329,0.78845612442417,0.8337673611111112
catboost_popularity,history_len_bucket,hist_3_5,2401,0.5285297792586422,0.6809662640566431,0.6451240623196769,0.8810086682427108,0.7448367754830113,0.7825844752440495,0.7799733798906794
catboost_popularity,history_len_bucket,hist_6_10,7599,0.4909856560073694,0.7008816949598632,0.6512448132780083,0.8413294023050121,0.734183136475266,0.7875764965144878,0.7991284763865287
catboost_popularity_semantic,history_len_bucket,hist_3_5,2401,0.5285297792586422,0.6863806747188671,0.6528436018957346,0.8684003152088259,0.7453500169090295,0.7803350438863941,0.7794373578149234
catboost_popularity_semantic,history_len_bucket,hist_6_10,7599,0.4909856560073694,0.7074615080931701,0.6604255319148936,0.8319485392656124,0.7363302099395089,0.7862825462428468,0.7987802799263944
qwen_qlora_checkpoint2500,item_count_bucket,cold_0,343,0.4314868804664723,0.673469387755102,0.5857142857142857,0.831081081081081,0.6871508379888268,0.7324451035792428,0.7805266805266805
qwen_qlora_checkpoint2500,item_count_bucket,head_100_plus,647,0.45904173106646057,0.7248840803709428,0.6676056338028169,0.797979797979798,0.7269938650306749,0.8298865842105578,0.8374410774410774
qwen_qlora_checkpoint2500,item_count_bucket,mid_21_100,523,0.5621414913957935,0.745697896749522,0.7417417417417418,0.8401360544217688,0.7878787878787878,0.8167444965133657,0.7991192110031786
qwen_qlora_checkpoint2500,item_count_bucket,rare_3_5,113,0.584070796460177,0.6902654867256637,0.7246376811594203,0.7575757575757576,0.7407407407407407,0.7685079891867573,0.7147001934235977
