method,group_type,group,n,positive_rate,accuracy,precision,recall,f1,pr_auc,roc_auc
qwen_qlora_checkpoint2500,item_count_bucket,cold_0,343,0.4314868804664723,0.673469387755102,0.5857142857142857,0.831081081081081,0.6871508379888268,0.7324451035792428,0.7805266805266805
qwen_qlora_checkpoint2500,item_count_bucket,head_100_plus,647,0.45904173106646057,0.7248840803709428,0.6676056338028169,0.797979797979798,0.7269938650306749,0.8298865842105578,0.8374410774410774
qwen_qlora_checkpoint2500,item_count_bucket,mid_21_100,523,0.5621414913957935,0.745697896749522,0.7417417417417418,0.8401360544217688,0.7878787878787878,0.8167444965133657,0.7991192110031786
qwen_qlora_checkpoint2500,item_count_bucket,rare_3_5,113,0.584070796460177,0.6902654867256637,0.7246376811594203,0.7575757575757576,0.7407407407407407,0.7685079891867573,0.7147001934235977
qwen_qlora_checkpoint2500,item_count_bucket,tail_6_20,258,0.5038759689922481,0.7170542635658915,0.6748466257668712,0.8461538461538461,0.7508532423208191,0.7699006781246156,0.7842548076923077
qwen_qlora_checkpoint2500,item_count_bucket,very_rare_1_2,116,0.5603448275862069,0.6551724137931034,0.654320987654321,0.8153846153846154,0.726027397260274,0.6548439653789582,0.6542986425339367
qwen_qlora_checkpoint2500,item_popularity_quantile,Q1_tail,518,0.4691119691119691,0.6737451737451737,0.6134969325153374,0.823045267489712,0.70298769771529,0.7056566235068765,0.7479985035540592
qwen_qlora_checkpoint2500,item_popularity_quantile,Q2_low_mid,498,0.5522088353413654,0.6927710843373494,0.6955128205128205,0.7890909090909091,0.7393526405451448,0.764307150233729,0.7434651447207501
qwen_qlora_checkpoint2500,item_popularity_quantile,Q3_high_mid,499,0.5551102204408818,0.7735470941883767,0.7469879518072289,0.8953068592057761,0.8144499178981938,0.8630657288188229,0.8464646957426741
qwen_qlora_checkpoint2500,item_popularity_quantile,Q4_head,485,0.422680412371134,0.7195876288659794,0.6431535269709544,0.7560975609756098,0.695067264573991,0.8003344606179068,0.8275435540069687
qwen_qlora_checkpoint2500,history_len_bucket,hist_3_5,479,0.5427974947807933,0.7035490605427975,0.672514619883041,0.8846153846153846,0.7641196013289037,0.80590046957436,0.7809887600983492
qwen_qlora_checkpoint2500,history_len_bucket,hist_6_10,1521,0.48652202498356345,0.717948717948718,0.6789413118527042,0.7972972972972973,0.7333747669359851,0.7851504029867113,0.7992308890196214
