budget,train_examples,eval_examples,model,split,n_features,roc_auc,pr_auc,accuracy,precision,recall,f1,threshold
train_20000,20000,2000,safe_features,val,25,0.7844190000000001,0.7753193382997718,0.6815,0.6280875088214538,0.89,0.7364501448076127,0.34
train_20000,20000,2000,safe_features,test,25,0.7678369999999999,0.7508439343523123,0.671,0.61875,0.891,0.730327868852459,0.34
train_20000,20000,2000,safe_plus_train_popularity,val,27,0.800075,0.8026056284749032,0.7145,0.672289156626506,0.837,0.7456570155902005,0.4
train_20000,20000,2000,safe_plus_train_popularity,test,27,0.7876560000000001,0.7796854917021687,0.6955,0.6535742340926944,0.832,0.732072151341839,0.4
train_20000,20000,2000,safe_plus_train_popularity_plus_semantic,val,34,0.799409,0.8012584439233864,0.696,0.6430656934306569,0.881,0.7434599156118143,0.34
train_20000,20000,2000,safe_plus_train_popularity_plus_semantic,test,34,0.7895779999999999,0.7808516676380965,0.681,0.6294706723891274,0.88,0.7339449541284404,0.34
train_30000,30000,2000,safe_features,val,25,0.792292,0.7860688604427686,0.694,0.6422287390029325,0.876,0.7411167512690355,0.35000000000000003
train_30000,30000,2000,safe_features,test,25,0.7777590000000001,0.7673944214233634,0.676,0.6229050279329609,0.892,0.7335526315789473,0.35000000000000003
train_30000,30000,2000,safe_plus_train_popularity,val,27,0.801678,0.8055160935330404,0.7115,0.667458432304038,0.843,0.7450287229341582,0.38
train_30000,30000,2000,safe_plus_train_popularity,test,27,0.7967679999999999,0.7922503511816701,0.6945,0.648814078041316,0.848,0.7351538794971825,0.38
train_30000,30000,2000,safe_plus_train_popularity_plus_semantic,val,34,0.8021529999999999,0.804511012104965,0.7245,0.6881810561609388,0.821,0.7487460100319198,0.41000000000000003
train_30000,30000,2000,safe_plus_train_popularity_plus_semantic,test,34,0.7986289999999998,0.7948258375359394,0.704,0.6632,0.829,0.7368888888888889,0.41000000000000003
